column_name,table_name,data_type,is_Key,table_schema
ID,tattributesthatarenullable,int,YES,acme
IntIsNullable,tattributesthatarenullable,int,NO,acme
IsNotNullable,tattributesthatarenullable,int,NO,acme
VarCharIsNullable,tattributesthatarenullable,varchar,NO,acme
DateIsNullable,tattributesthatarenullable,date,NO,acme
ClassID,tclass,int,YES,acme
ClassName,tclass,varchar,NO,acme
CustomerID,tcustomer,int,YES,acme
CustomerCode,tcustomer,varchar,NO,acme
CustomerName,tcustomer,varchar,NO,acme
Address1,tcustomer,varchar,NO,acme
Address2,tcustomer,varchar,NO,acme
City,tcustomer,varchar,NO,acme
State,tcustomer,varchar,NO,acme
ZipCode,tcustomer,varchar,NO,acme
CustomerTypeID,tcustomer,int,NO,acme
CustomerTypeID,tcustomertype,int,YES,acme
CustomerType,tcustomertype,varchar,NO,acme
ID,tdeterminanttest,int,YES,acme
FirstName,tdeterminanttest,varchar,NO,acme
LastName,tdeterminanttest,varchar,NO,acme
Address,tdeterminanttest,varchar,NO,acme
SSN,tdeterminanttest,varchar,NO,acme
DeterminantTestID,tdeterminanttest_01,int,YES,acme
Fruit,tdeterminanttest_01,varchar,NO,acme
Vegetable,tdeterminanttest_01,varchar,NO,acme
Meal,tdeterminanttest_01,varchar,NO,acme
DeterminanttestID,tdeterminanttest_02,int,YES,acme
Meal,tdeterminanttest_02,char,NO,acme
Meat,tdeterminanttest_02,char,NO,acme
Drink,tdeterminanttest_02,char,NO,acme
Desert,tdeterminanttest_02,char,NO,acme
Fruit,tdeterminanttest_02,char,NO,acme
Vegetable,tdeterminanttest_02,char,NO,acme
DeterminantTestID,tdeterminanttest_03,int,YES,acme
FirstName,tdeterminanttest_03,char,NO,acme
FavoriteColor,tdeterminanttest_03,char,NO,acme
DeterminantTestID,tdeterminanttest_04,int,YES,acme
A1,tdeterminanttest_04,char,NO,acme
A2,tdeterminanttest_04,char,NO,acme
A3,tdeterminanttest_04,char,NO,acme
A4,tdeterminanttest_04,char,NO,acme
DeterminantTestID,tdeterminanttest_05,int,YES,acme
A1,tdeterminanttest_05,char,NO,acme
A2,tdeterminanttest_05,char,NO,acme
A3,tdeterminanttest_05,char,NO,acme
A4,tdeterminanttest_05,char,NO,acme
